no,title,content,lcate,mcate
24,최소 출발 인원이 안 되는 경우는 어떻게 되나요?,패키지 여행은 단체 여행이기 때문에 출발일까지 최소 출발 인원이 채워지지 않는 경우 다른 날로 상품을 변경하시거나 혹은 여행상품이 취소될 수 있습니다.,I,P
25,패키지 여행 중 쇼핑한 물품을 환불받고 싶습니다,"해외 여행시 US$600 초과 구입한 물품은 입국시 관세가 부과될 수 있으니, 물품 구매시 신중한 선택 바랍니다.
구입하신 물품은 해외구매의 특성상 교환 및 환불이 쉽지 않으니 신중한 구매 부탁드립니다.

■ 물품의 교환 및 환불은 물품 수령 후 30일 이내에만 가능합니다.
  - 환불 필요서류: 영수증 원본, 반품 물건, 고객명, 연락처
  - 단, 구입한 물품에 따라 추가 증명서류 첨부(진단서, 보석감정서 등)
■ 단순변심 또는 개봉 후 사용하거나 훼손된 경우 교환 및 환불은 불가합니다. (단, 물품의 하자로 확인된 경우 제외)
■ 교환 및 환불은 물품의 쇼핑센터 도착 시점으로부터 1~6개월 정도 소요되며, 교환 및 환불에 소요되는 모든 비용은 고객님 부담입니다. (국내외 배송비 및 관세 포함)
■ 지정된 쇼핑센터가 아닌 곳에서 구매한 물품의 환불은 고객님이 직접 처리하셔야 하오니 이점 양해 부탁드립니다.

■ 교환 및 환불 접수는 투어랜드 고객센터 대표번호 또는 투어랜드 고객의소리 게시판(온라인 접수)을 이용해 주시기 바랍니다.",I,P
26,패키지 여행 시 항공권 upgrade가 가능한가요?,"패키지 상품의 항공권은 모두 이코노미석 기준의 단체 항공권입니다.
비즈니스석을 원하실 경우에는 예약 시 미리 말씀해 주시고 고객님께서 차액을 부담하면 upgrade가 가능합니다.
마일리지를 보유하고 있는 경우에는 마일리지를 사용한 upgrade도 가능합니다.

단 상품에 따라 항공권 upgrade가 불가한 경우도 있으니 도우미 여행사를 통해 가능 여부 확인을 부탁드립니다.",I,P
27,패키지 일정을 함께 관광하고 나서 돌아올 때만 일정 변경이 가능한가요?,이용하시는 패키지 항공권 규정에 따라 달라집니다. 그 규정에 따라 일부 상품은 추가 비용을 지불하셔야 돌아오는 일정 변경이 가능합니다. 규정은 해당 패키지 상품 일정표에서 확인 가능합니다.,I,P
28,마일리지가 있어 무료로 항공을 이용할 수 있는데 현지 관광에만 참여할 수 있나요?,가시고자 하는 상품이 이미 출발 확정 되어 있다면 현지행사만 참여 가능하십니다. 하지만 최소출발인원에 모자라거나 가시고자 하는 날 출발하는 상품이 없다면 참여하실 수 없습니다.,I,P
29,저는 지방에 살고 있는데 지방에서 출발하는 상품이 있나요?,아니오 없습니다 코로나 19 영향으로 저희 투어랜드에서는 서울 출발하는 상품만 신청이 가능합니다 참고해주세요,I,P
30,비자가 필요한 나라일 경우 비자 수속은 개인이 하나요? 아니면 대행해주나요?,"투어랜드 여행상품을 예약하신 모든 고객님께 비자 수속대행을 해드리고 있습니다. 

예약하실 때 선택하셨던 도우미 여행사 통해서 구비서류를 전달해 주시면 가능합니다.
해당 여행지역의 여권과 비자에 대한 정보는 선택하신 상품의 일정표에서 확인하실 수 있습니다.",I,V
31,여권의 영문과 항공권의 영문이 틀립니다 어떻게 하지요?,"항공사에 변경을 요청하여 수정이 가능합니다만, 예외인 항공사도 있습니다.

수정이 안될 시에는 취소후 좌석을 다시 요청/예약하셔야 합니다.
영문 변경으로 항공권을 재발행 시에는 수수료를 내는 경우도 발생하오니,
반드시 여권을 확인하셔서 정확한 영문이름으로 예약 하시기 바랍니다.",I,V
32,여권번호 & 만료기간 수정 및 등록 어떻게 하나요?,"여권 정보는 고객님께서 직접 투어랜드 홈페이지를 통해 확인 가능합니다.



※ 홈페이지 확인 경로

투어랜드 우측 상단 '로그인' 메뉴 클릭 후

■ 회원 로그인 → 마이페이지 → 예약내역→ 예약번호 클릭 → 정보수정",I,V
33,여권 상 영문 명의 하이픈(-)이나 띄어쓰기 그대로 표기하면 되나요?,"여권 상에 기재되어 있더라도 하이픈(-), 띄어쓰기 없이 정확한 영어 철자 입력 부탁드립니다.",I,V
34,여권번호 & 만료기간 수정 및 등록 올바르게 하였는지 확인할 수 있나요?,"여권 정보는 고객님께서 직접 하나투어 닷컴 홈페이지를 통해 확인 가능합니다.



※ 홈페이지 확인 경로

하나투어 닷컴 우측 상단 '로그인' 메뉴 클릭 후

■ 회원 로그인 → 마이페이지 → 예약내역→ 예약번호 클릭 → 정보수정",I,V
35,비자 대행해 줄 때 수수료를 지불해야 하나요?,"현재 도우미여행사에 따라 하나투어 패키지 상품을 구매한 경우에 수수료를 면제하는 곳도 있고, 경우에 따라 별도의 수수료를 받는곳이 있습니다.
 
도우미 여행사별로 수수료 유무를 별도로 확인하여 주시길 바랍니다",I,V
36,외국인으로 한글 이름이 없을 때는 어떻게 하나요?,외국인의 경우 여권 상 기재되어 있는 영문명으로 입력하시면 됩니다.,I,V
37,화와이도 비자가 필요한가요?,"하와이도 미국의 본토와 마찬가지로 50주중에 하나이므로 비자가 필요합니다.
ESTA를 받으시거나, 예전대로 인터뷰를 받으셔야 입국이 가능합니다.",I,V
38,미국 무비자(ESTA)체크 사항 및 기타사항,"미국을 경유 및 목적지인 경우 반드시 미국 ESTA 전자여행허가서를 발급받아야 합니다.
해당조건은 귀하가 현재 방문 비자를 가지고 있지 않아야 합니다.
여행기간이 90일 이하여야 하며 귀하의 미국 방문 목적이 사업상 혹은 관광 목적이어야 합니다. 
""전자여권을 소지후"" 비자면제프로그램을 이용하기 위해서는 전자여행허가(ESTA) 홈페이지(https://esta.cbp.dhs.govhttps://esta.cbp.dhs.gov/"">https://esta.cbp.dhs.gov>)에서 온라인 신청서를 작성 후 승인을 받으셔야 합니다.
미주지역으로 여행하시는 고객 중 일반여권 소지자는 반드시 비자를 소지해야하며 전자여권 소지자는 전자여행허가(ESTA) 를
통해 승인받으시고 신청번호를 승인받은후 반드시 승인번호를 반드시 출력하시여 여행시 지참하셔야 합니다.",I,V
39,단수여권 소지 고객님은 중국 심천 입국시 주의해주세요!,"단수여권 소지자 및 새터민(탈북자) 주민번호 뒷자리(125-, 225-, 325-, 425-)는 심천입국시 단체비자로 불가하오니 개인비자 유무 꼭 확인하시기 바랍니다.

관용여권이신 분은 심천입국시 무비자로 가능하나 현지에서 비자가 중복접수 되어 문제가 될수있으니 사전에 꼭 알려주시기 바랍니다.

중국 개인비자를 소지 하신 분은 심천에서 도착비자 발급 시에 중복접수가 불가하므로 개인비자를 사용하셔야 하고 출발 전 상담원에게 개인비자 소지여부를 반드시 알려주시기 바랍니다.",I,V
40,환전은 어떻게 해야 하나요?,"환전을 하실 때에는 하나투어닷컴 내 이벤트 페이지 하단의 환전 수수료 할인 쿠폰을 이용하시면 보다 저렴하게 환전이 가능하십니다. 환전을 하실 때에는 기본적으로 유럽, 미주, 호주, 일본, 괌/사이판과 같은 국가는 해당 국가의 화폐로 환전하는 것이 좋지만, 동남아는 달러를 준비해 가시면 됩니다.(단, 패키지 여행의 경우입니다.) 동남아지역은 달러가 통용이 되며, 간식비 정도의 작은 금액은 현지에서 현지 화폐로 조금 바꿔서 사용하시면 됩니다.",I,V
41,현지에서 옵션 가격 지불할 때 카드를 사용할 수 있나요? 현금으로 지불해야 한다면 현지통화를 준비해야 하는건지 달러를 지불하여야 하는건지 궁금합니다,"현지에서 직접 선택해서 즐기실 수 있는 선택관광은 카드 사용이 불가능하고, 대부분의 경우 미국 달러로 지불합니다. 간혹 다른 화폐를 사용하셔야 한다면 내용과 비용이 일정표에 명시되어 있습니다. 따라서 일정표 상의 선택관광을 확인하신 후 이에 맞는 적당한 금액의 환전을 하셔야 합니다.",I,V
42,해외에서 카드 사용시 환율은?,"해외에서 카드를 사용할 경우 환율적용시점을 알아두면 유용합니다.
삼성과 LG카드,BC카드등은 거래명세가 해당회사에 접수되는날의 환율을 적용합니다.
반면 현대카드는 거래일자의 환율을 적용하고 있습니다.
환율이 오르는 추세라면 현대카드가, 그 반대라면 삼성이나 LG카드,BC카드가 유리합니다.

세계 어느 나라에서 사용하시더라도 모든 거래금액은 미 달러화로 전환 후 원화로 청구됩니다.
예를 들어 유럽에서 유로화로 결제하실 경우 미화로 전환하여 청구됩니다.

해외에서 카드를 분실하면 최대한 빨리 해당카드사에 신고하는 것이 중요합니다.
이를 위해서는 출국전에 미리 카드사의 긴급연락처를 메모해두는것이 좋습니다.
또 장기체류자가 해외에서 카드를 분실하였을경우 현지에서 긴급 대체카드 발급을
신청하면 이틀내에 새로운 카드를 발급받을 수 있습니다.",I,V
43,유럽에서 쓰는 화폐(통화)는?,"EU 회원국 중에 유로화를 사용하는 국가는 오스트리아, 벨기에, 키프로스, 에스토니아, 핀란드, 프랑스, 독일, 그리스, 아일랜드, 이탈리아, 룩셈부르크, 몰타, 네덜란드, 포르투갈, 슬로바키아, 슬로베니아, 스페인입니다. 영국, 덴마크, 스웨덴은 유로화 사용 미참가국입니다.

그 외의 국가에서도 자체 화폐 외에도 유로화와 달러가 모두 통용되고 있습니다.
단, 단체관광 시에는 추가 발생하는 액수가 적으므로 유로화로 환전을 하신 후 현지에서 필요한 만큼의 화폐를 환전하시어 사용하시면 편안하십니다. 그밖에 봉사료도 유로화로 지불하시면 됩니다.",I,V
44,신용 불량자도 해외여행을 할 수 있나요?,"신용 불량자는 금융 불량자입니다. 그래서 단지 신용 불량자라고 해서 출국까지 금지 되는 것은 아닙니다. 다만 신용 불량자가 되면서 거액으로 또는 민,형사 고소가 남아 있든지 하는 관계로 상대자가 출국금지를 요청 을 했을 때는 제외 사항입니다.
참고로, 출국금지여부는 본인이 직접 가까운 출입국관리사무소를 방문하시면 확인이 가능함을 말씀 드립니다.",I,E
45,국내 이동전화를 해외에서 쓸 수 있는 방법은?,"로밍 서비스(Roaming Service)를 이용하시면 됩니다.
로밍 서비스란? 통신업체끼리 서로 제휴하여 여행이나 비즈니스를 목적으로 외국으로 출국하는 내국인이나 입국하는 외국인이 도착한 나라에서 자유로이 사용(송,수신)할 수 있는 휴대폰을 렌탈하는 서비스입니다.

스마트폰 사용자 이시라면 자동로밍서비스가 가능한지 체크하여주시기 바랍니다.

만약 우리나라 업체가 미국이나 일본의 어느 업체와 로밍 서비스를 하기로 하였다면, 그 회사에 가입한 사람은 휴대전화를 미국이나 일본에 들고 가더라도 상대 업체들이 서비스를 하고 있는 지역이라면 우리나라에서와 같이 그대로 사용할 수 있게 됩니다. 로밍 서비스는 휴대폰과 인터넷 모두 서비스가 가능합니다.

인천 국제공항에서는 휴대전화를 임대 또는 로밍 서비스를 해주고 있으므로 해외에서 휴대폰을 사용하려면 출국하는 날 여객터미널 1층 입국장 및 3층 출국장의 각 통신사별 상담창구를 찾아가면 로밍 서비스 신청 및 로밍 휴대폰을 받을 수 있습니다.",I,E
46,군 미필자입니다. 해외 여행 갈 수 있습니까?,"▶'07. 1. 1.부터 「24세이하 국외여행허가제 폐지」로 24세이하인 자는 국외여행허가 없이  국외여행을 할 수 있으며(허가신청시 회송처리), 24세인 사람이 25세가 되는 해까지 계속하여 국외여행을 하고자 할때에는 국외여행허가 신청을 할 수 있습니다.
     
※ 단, 공익근무요원 복무 중인자 등 대체복무중인자는 헌행 국외여행허가제 유지

▶국내 병역의무자가 신청하는 「국외여행허가」 처리기간은 2일 이내이며, 국외체류중  (허가기간 만료이전 일시귀국자 포함)인 병역의무자가 신청하는 「국외여행기간  연장허가」는 11일 입니다. 

▶ 구비서류는 이미지파일 전송, FAX, 우편으로 송부할 수 있으며, 구비서류 미비시는  보완 후 처리합니다.

※ 영문으로 표기되지 않은 입학허가서, 재학증명서는 영문번역공증 보완 요청이 있을 수 있습니다. 

▶ 여행목적별 자세한 안내 및 구비서류는  병무청 홈페이지  국외여행허가  메뉴에서 확인하시기 바랍니다.

▶ 국외여행허가(취소) 신청결과는 병무청 홈페이지 ""'실시간공개""→""국외여행(기간연장) 허가(허가취소)사항 조회""에서 확인할 수 있으며 여권 발급에 필요한 허가(증명)서 등은 직접  출력하여 사용할 수 있습니다.",I,E
47,해외여행시 국내에서 사용하는 전기 제품을 가지고 가서 사용할 수 있나요?,"대부분의 국가가 상이한 전압 시스템을 사용하기 때문에 별도의 어댑터가 필요합니다. 또한 전압은 같으나 사용규격(크기 또는 모양)이 다른 경우도 많습니다. 인천공항에서는 대부분의 모든 어댑터를 판매하고 있으며, 한국인이 많이 방문하는 호텔의 경우 프런트에서 어댑터 대여가 가능하기도 합니다. 상품예약후 이용하시고자하는 전자제품의 사용여부를 확인하시어 준비해 주시기 바랍니다.",I,E
48,장거리 비행을 하려고 하는데 기내에서 어떤 운동을 하는 것이 좋을까요?,"장시간 비행시에는 가벼운 운동은 반드시 필요합니다.

오랜 시간 앉아 있어야 하고 기압과 산소가 지상보다 부족한 기내에서는 혈액순환이 원활치 않아 자칫 혈전이 생기기 쉽기 때문입니다. 이를 막기 위해서는 수분을 충분히 섭취하고 주기적으로 걸어 다니거나 여자 분인 경우 때로 탄력 있는 스타킹을 신는 것이 도움이 됩니다. 이외에도 좌석에 앉아서 발 뒷꿈치를 들어올리거나 어깨 들어 올리기, 허리 뒤틀기, 목운동 등의 운동을 해 주는 것이 혈액순환에 좋습니다.",I,E
49,그랜드투어란?,"본래의 그랜드투어란 17세기 중반부터 19세기 초반까지 영국 상류층 자제들이 가정교사를 대동한 유럽여행을 말합니다. 
학문은 물론이고 예법과 언어, 승마와 펜싱 등도 배우는 일종의 교사동행 교육여행이었다고 할 수 있습니다. 

이를 모티브로 지식이 경쟁력인 현대 사회에 걸맞는 하나투어만의 새로운 그랜드투어를 출시하였습니다. 
관심 분야 전문가의 생생한 지식과 노하우를 전수 받을 수 있는 특별한 여행을 떠나고 싶은 고객님들을 위해 투어랜드에서는 전문가와 함께 떠나는 다양한 테마여행을 제안 하고 있습니다.


■ 전문 강의
누구나 할 수 없는 특별한 경험, 특별한 정보, 현장에서만 들을 수 있는 테마와 관련된 전문가의 생생한 강연을 경험하실 수 있습니다. 

■ 전문 가이드북
방대한 알짜 전문지식의 집약, 전문가의 노하우와 지식이 담긴 전문 콘텐츠 또는 가이드북이 제공됩니다.
※ 전문가에 따라 현장 해설로 대체될 수 있습니다.

■ 네트워크
나와 같은 관심을 가진 고객들과 일정을 함께하며 알짜 정보도 교환하고 네트워크를 형성할 기회도 갖게 됩니다. ",I,E
50,상품 예약은 어떻게 조회하나요?,"투어랜드 홈페이지 예약은 예약과 동시에 고객님의 이메일과 SMS를 통해 알려 드리며

고객님께서 예약 시 지정하신 공식인증예약센터 예약담당자가 영업일 기준 24시간 이내에 고객님께 예약 확인 전화를 드립니다. 

또한 예약한 상품은 투어랜드 홈페이지의 마이페이지에서 확인 하실 수 있습니다.",R,B
51,여행 상품 변경이나 취소는 어떻게 하나요?,"도우미 여행사를 통해 상품 변경 및 취소가 가능합니다.
단 상품 특성에 따라 여행 취소 요청일과 출국일을 기준으로 취소 수수료가 부과될 수 있습니다.
자세한 사항은 도우미 여행사와 상담을 진행해주시면 됩니다.

여행상품마다 특별약관 또는 표준약관 적용 됩니다.
여행 상품의 특성에 따라 여행 취소 요청일과 출국일을 기준으로하여 취소료가 부과됩니다.
상품별로 상이하므로 예약했던 여행 일정표의 취소 약관을 확인하여 주십시요.
여행 일정의 변경은  동일한 상품인 경우도 출국일을 변경하거나 여행 목적지를 변경하면
해당 상품의 취소로 간주되어 취소료가 부과 될 수 있습니다.
항공 좌석의 잔여석 유무와 호텔의 잔여 객실 유무에 따라 변경이 가능 혹은 불가능 할 수 있으니
변경하고자 하는 상품의 잔여석, 출발 가능한 취소 인원 등을 반드시 확인 후 변경하여 주시길 바랍니다.",R,B
